Measurement : PES-PEG400
Device : OCA35XL
Customer : OCA35XL
Sample : PES-PEG400
Operator : schubotz
Remarks : OCA35XL

Run-No	Age[ms]	CA(M)[°]	CA(L)[°]	CA(R)[°]	CM	BD[mm]	Vol[µL]	Mag[pixel/mm]	BI left[mm]	BI right[mm]	Height[mm]
1457	669832,69	59,45	59,42	59,49	T	5,47	NA	48,84	4,57	10,03	0,00
1458	670151,81	59,39	59,34	59,44	T	5,47	NA	48,85	4,57	10,03	0,00
1459	670470,94	59,35	59,28	59,42	T	5,47	NA	48,84	4,57	10,03	0,00
1460	670790,06	59,28	59,11	59,46	T	5,47	NA	48,85	4,56	10,03	0,00
1461	671109,19	59,25	59,06	59,44	T	5,47	NA	48,84	4,57	10,03	0,00
1462	671428,31	59,24	58,88	59,61	T	5,49	NA	48,85	4,54	10,03	0,00
1463	671747,44	59,24	58,94	59,53	T	5,47	NA	48,84	4,55	10,01	0,00
1464	672066,56	59,37	59,19	59,54	T	5,47	NA	48,84	4,55	10,01	0,00
1465	672385,69	59,27	59,04	59,51	T	5,46	NA	48,86	4,54	10,01	0,00
1466	672704,81	59,25	58,99	59,51	T	5,47	NA	48,85	4,54	10,01	0,00
1467	673023,88	59,33	59,10	59,57	T	5,47	NA	48,84	4,55	10,01	0,00
1468	673343,00	59,32	59,13	59,51	T	5,47	NA	48,85	4,54	10,01	0,00
1469	673662,13	59,32	59,19	59,45	T	5,49	NA	48,85	4,54	10,03	0,00
1470	673981,25	59,40	59,16	59,63	T	5,46	NA	48,86	4,54	10,01	0,00
1471	674300,38	59,50	59,21	59,80	T	5,47	NA	48,85	4,54	10,01	0,00
1472	674619,50	59,48	59,23	59,73	T	5,49	NA	48,84	4,55	10,03	0,00
1473	674938,63	59,46	59,32	59,60	T	5,48	NA	48,86	4,54	10,03	0,00
1474	675257,75	59,53	59,47	59,60	T	5,48	NA	48,86	4,54	10,03	0,00
1475	675576,88	59,57	59,48	59,67	T	5,49	NA	48,85	4,54	10,03	0,00
1476	675896,00	59,50	59,52	59,48	T	5,49	NA	48,84	4,55	10,03	0,00
1477	676215,13	59,63	59,69	59,58	T	5,49	NA	48,85	4,54	10,03	0,00
1478	676534,25	59,68	59,68	59,67	T	5,49	NA	48,84	4,55	10,03	0,00
1479	676853,38	59,66	59,74	59,57	T	5,49	NA	48,85	4,54	10,03	0,00
1480	677172,44	59,67	59,72	59,61	T	5,51	NA	48,86	4,52	10,03	0,00
1481	677491,56	59,63	59,59	59,68	T	5,53	NA	48,86	4,52	10,05	0,00
1482	677810,69	59,67	59,70	59,65	T	5,53	NA	48,85	4,52	10,05	0,00
1483	678129,81	59,78	59,90	59,66	T	5,53	NA	48,84	4,52	10,05	0,00
1484	678448,94	59,65	59,83	59,48	T	5,51	NA	48,86	4,52	10,03	0,00
1485	678768,06	59,83	60,01	59,66	T	5,51	NA	48,85	4,52	10,03	0,00
1486	679087,19	59,79	59,89	59,68	T	5,51	NA	48,85	4,52	10,03	0,00
1487	679406,31	59,94	59,93	59,95	T	5,50	NA	48,87	4,52	10,03	0,00
1488	679725,44	59,94	60,10	59,78	T	5,51	NA	48,85	4,52	10,03	0,00
1489	680044,56	59,87	59,90	59,84	T	5,51	NA	48,85	4,52	10,03	0,00
1490	680363,69	59,97	60,01	59,93	T	5,51	NA	48,86	4,52	10,03	0,00
1491	680682,81	59,88	60,06	59,70	T	5,51	NA	48,85	4,52	10,03	0,00
1492	681001,88	59,91	59,99	59,82	T	5,53	NA	48,84	4,52	10,05	0,00
1493	681321,00	59,98	60,16	59,81	T	5,53	NA	48,86	4,52	10,05	0,00
1494	681640,13	59,96	60,11	59,81	T	5,53	NA	48,85	4,52	10,05	0,00
1495	681959,25	59,91	60,18	59,63	T	5,52	NA	48,87	4,52	10,05	0,00
1496	682278,38	59,88	60,01	59,75	T	5,55	NA	48,85	4,50	10,05	0,00
1497	682597,50	59,89	60,09	59,70	T	5,55	NA	48,84	4,50	10,05	0,00
1498	682916,63	59,96	60,20	59,71	T	5,55	NA	48,85	4,50	10,05	0,00
1499	683235,75	59,93	60,15	59,71	T	5,55	NA	48,85	4,50	10,05	0,00
1500	683554,88	59,95	60,23	59,66	T	5,55	NA	48,85	4,50	10,05	0,00
1501	683874,00	60,03	60,35	59,72	T	5,55	NA	48,85	4,50	10,05	0,00
1502	684193,13	60,08	60,41	59,76	T	5,57	NA	48,85	4,50	10,07	0,00
1503	684512,25	60,10	60,48	59,73	T	5,57	NA	48,86	4,50	10,07	0,00
1504	684831,38	60,07	60,45	59,69	T	5,57	NA	48,85	4,50	10,07	0,00
1505	685150,44	60,20	60,52	59,89	T	5,57	NA	48,85	4,50	10,07	0,00
1506	685469,56	60,15	60,57	59,72	T	5,55	NA	48,86	4,50	10,05	0,00
1507	685788,69	60,15	60,52	59,77	T	5,55	NA	48,85	4,50	10,05	0,00
1508	686107,81	60,28	60,78	59,77	T	5,55	NA	48,84	4,50	10,05	0,00
1509	686426,94	60,26	60,72	59,79	T	5,55	NA	48,85	4,50	10,05	0,00
1510	686746,06	60,31	60,83	59,80	T	5,55	NA	48,85	4,50	10,05	0,00
1511	687065,19	60,23	60,61	59,85	T	5,57	NA	48,85	4,48	10,05	0,00
1512	687384,31	60,23	60,64	59,82	T	5,59	NA	48,84	4,48	10,07	0,00
1513	687703,44	60,35	60,83	59,87	T	5,59	NA	48,85	4,48	10,07	0,00
1514	688022,56	60,39	60,96	59,83	T	5,59	NA	48,86	4,48	10,07	0,00
1515	688341,69	60,37	60,98	59,77	T	5,59	NA	48,86	4,48	10,07	0,00
1516	688660,81	60,45	60,95	59,94	T	5,59	NA	48,84	4,48	10,07	0,00
1517	688979,88	60,40	60,96	59,84	T	5,59	NA	48,83	4,49	10,08	0,00
1518	689299,00	60,57	61,12	60,03	T	5,59	NA	48,85	4,48	10,07	0,00
1519	689618,13	60,45	61,11	59,78	T	5,59	NA	48,85	4,48	10,07	0,00
1520	689937,25	60,50	61,23	59,76	T	5,59	NA	48,84	4,48	10,07	0,00
1521	690256,38	60,64	61,38	59,91	T	5,59	NA	48,85	4,48	10,07	0,00
1522	690575,50	60,42	61,10	59,75	T	5,61	NA	48,85	4,48	10,09	0,00
1523	690894,63	60,59	61,32	59,86	T	5,61	NA	48,84	4,48	10,09	0,00
1524	691213,75	60,61	61,32	59,90	T	5,61	NA	48,85	4,48	10,09	0,00
1525	691532,88	60,53	61,33	59,73	T	5,59	NA	48,85	4,48	10,07	0,00
1526	691852,00	60,64	61,34	59,94	T	5,59	NA	48,86	4,48	10,07	0,00
1527	692171,13	60,55	61,22	59,88	T	5,59	NA	48,85	4,48	10,07	0,00
1528	692490,25	60,52	61,22	59,83	T	5,61	NA	48,86	4,46	10,07	0,00
1529	692809,38	60,50	61,11	59,88	T	5,61	NA	48,86	4,46	10,07	0,00
1530	693128,44	60,56	61,24	59,89	T	5,61	NA	48,85	4,46	10,07	0,00
1531	693447,56	60,61	61,28	59,95	T	5,61	NA	48,86	4,46	10,07	0,00
1532	693766,69	60,57	61,18	59,96	T	5,63	NA	48,87	4,46	10,09	0,00
1533	694085,81	60,59	61,19	60,00	T	5,63	NA	48,85	4,46	10,09	0,00
1534	694404,94	60,64	61,38	59,90	T	5,63	NA	48,84	4,46	10,09	0,00
1535	694724,06	60,70	61,42	59,98	T	5,63	NA	48,86	4,46	10,09	0,00
1536	695043,19	60,57	61,34	59,81	T	5,63	NA	48,84	4,46	10,09	0,00
1537	695362,31	60,59	61,43	59,75	T	5,63	NA	48,84	4,46	10,09	0,00
1538	695681,44	60,59	61,39	59,80	T	5,65	NA	48,85	4,46	10,11	0,00
1539	696000,56	60,68	61,59	59,76	T	5,65	NA	48,85	4,46	10,11	0,00
1540	696319,69	60,67	61,44	59,90	T	5,65	NA	48,83	4,46	10,12	0,00
1541	696638,81	60,59	61,33	59,85	T	5,67	NA	48,84	4,44	10,11	0,00
1542	696957,88	60,60	61,32	59,87	T	5,67	NA	48,84	4,44	10,11	0,00
1543	697277,00	60,60	61,42	59,79	T	5,65	NA	48,84	4,44	10,09	0,00
1544	697596,13	60,59	61,29	59,90	T	5,65	NA	48,83	4,44	10,10	0,00
1545	697915,25	60,51	61,16	59,87	T	5,65	NA	48,84	4,44	10,09	0,00
1546	698234,38	60,60	61,23	59,97	T	5,65	NA	48,83	4,44	10,10	0,00
1547	698553,50	60,72	61,39	60,04	T	5,65	NA	48,83	4,44	10,10	0,00
1548	698872,63	60,66	61,30	60,02	T	5,65	NA	48,83	4,44	10,10	0,00
1549	699191,75	60,73	61,38	60,08	T	5,65	NA	48,83	4,44	10,10	0,00
1550	699510,88	60,73	61,40	60,05	T	5,67	NA	48,83	4,44	10,12	0,00
1551	699830,00	60,67	61,39	59,95	T	5,67	NA	48,83	4,44	10,12	0,00
1552	700149,13	60,81	61,62	60,00	T	5,67	NA	48,82	4,44	10,12	0,00
1553	700468,25	60,85	61,67	60,03	T	5,67	NA	48,83	4,44	10,12	0,00
1554	700787,38	60,98	62,02	59,94	T	5,67	NA	48,84	4,44	10,11	0,00
1555	701106,44	60,99	61,88	60,10	T	5,67	NA	48,84	4,44	10,12	0,00
1556	701425,56	60,79	61,79	59,79	T	5,69	NA	48,83	4,44	10,14	0,00
1557	701744,69	60,92	61,78	60,05	T	5,67	NA	48,84	4,44	10,12	0,00
1558	702063,81	60,96	61,79	60,13	T	5,71	NA	48,85	4,42	10,13	0,00
1559	702382,94	60,98	61,96	60,00	T	5,71	NA	48,83	4,42	10,14	0,00
1560	702702,06	60,90	61,82	59,98	T	5,69	NA	48,83	4,42	10,12	0,00
1561	703021,19	60,85	61,76	59,94	T	5,69	NA	48,85	4,42	10,11	0,00
1562	703340,31	60,94	61,86	60,02	T	5,69	NA	48,84	4,42	10,12	0,00
1563	703659,44	60,98	61,96	60,00	T	5,69	NA	48,85	4,42	10,11	0,00
1564	703978,56	60,88	61,76	60,00	T	5,69	NA	48,84	4,42	10,11	0,00
1565	704297,69	60,91	61,84	59,97	T	5,69	NA	48,84	4,42	10,11	0,00
1566	704616,81	60,86	61,76	59,96	T	5,71	NA	48,84	4,42	10,14	0,00
1567	704935,88	61,04	61,98	60,09	T	5,71	NA	48,83	4,42	10,14	0,00
1568	705255,00	60,96	61,95	59,98	T	5,71	NA	48,84	4,42	10,13	0,00
1569	705574,13	61,01	62,00	60,02	T	5,71	NA	48,84	4,42	10,14	0,00
1570	705893,25	60,97	61,82	60,11	T	5,71	NA	48,85	4,42	10,13	0,00
1571	706212,38	60,83	61,79	59,87	T	5,73	NA	48,84	4,40	10,14	0,00
1572	706531,50	60,84	61,79	59,88	T	5,73	NA	48,84	4,40	10,13	0,00
1573	706850,63	60,81	61,60	60,02	T	5,73	NA	48,84	4,40	10,14	0,00
1574	707169,75	60,83	61,63	60,04	T	5,73	NA	48,84	4,40	10,13	0,00
1575	707488,88	60,82	61,65	59,99	T	5,75	NA	48,84	4,40	10,16	0,00
1576	707808,00	60,80	61,68	59,91	T	5,75	NA	48,83	4,40	10,16	0,00
1577	708127,13	60,84	61,62	60,07	T	5,75	NA	48,83	4,40	10,16	0,00
1578	708446,25	60,82	61,62	60,01	T	5,73	NA	48,83	4,40	10,14	0,00
1579	708765,38	60,86	61,63	60,09	T	5,73	NA	48,84	4,40	10,14	0,00
1580	709084,44	60,76	61,46	60,06	T	5,74	NA	48,81	4,40	10,14	0,00
1581	709403,56	60,68	61,37	59,99	T	5,76	NA	48,83	4,38	10,14	0,00
1582	709722,69	60,73	61,41	60,05	T	5,75	NA	48,85	4,38	10,13	0,00
1583	710041,81	60,73	61,40	60,05	T	5,75	NA	48,85	4,38	10,13	0,00
1584	710360,94	60,64	61,39	59,88	T	5,77	NA	48,85	4,38	10,15	0,00
1585	710680,06	60,48	61,17	59,79	T	5,78	NA	48,83	4,38	10,16	0,00
1586	710999,19	60,43	61,07	59,79	T	5,77	NA	48,85	4,38	10,15	0,00
1587	711318,31	60,53	61,21	59,86	T	5,77	NA	48,84	4,38	10,15	0,00
1588	711637,44	60,44	61,14	59,73	T	5,77	NA	48,83	4,38	10,16	0,00
1589	711956,56	60,34	60,93	59,75	T	5,77	NA	48,85	4,38	10,15	0,00
1590	712275,69	60,16	60,76	59,56	T	5,77	NA	48,84	4,38	10,16	0,00
1591	712594,81	60,13	60,73	59,53	T	5,78	NA	48,83	4,38	10,16	0,00
1592	712913,88	59,97	60,59	59,35	T	5,80	NA	48,83	4,36	10,16	0,00
1593	713233,00	59,91	60,46	59,36	T	5,79	NA	48,84	4,36	10,15	0,00
1594	713552,13	59,74	60,20	59,28	T	5,82	NA	48,83	4,36	10,18	0,00
1595	713871,25	59,77	60,27	59,27	T	5,82	NA	48,84	4,36	10,18	0,00
1596	714190,38	59,78	60,33	59,24	T	5,81	NA	48,85	4,36	10,17	0,00
1597	714509,50	59,80	60,34	59,26	T	5,81	NA	48,84	4,36	10,18	0,00
1598	714828,63	59,64	60,21	59,07	T	5,81	NA	48,84	4,36	10,18	0,00
1599	715147,75	59,71	60,06	59,36	T	5,82	NA	48,83	4,36	10,18	0,00
1600	715466,88	59,78	60,22	59,33	T	5,81	NA	48,85	4,36	10,17	0,00
1601	715786,00	59,64	60,05	59,24	T	5,82	NA	48,83	4,36	10,18	0,00
1602	716105,13	59,54	59,92	59,17	T	5,82	NA	48,84	4,36	10,18	0,00
1603	716424,25	59,57	59,92	59,23	T	5,82	NA	48,83	4,36	10,18	0,00
1604	716743,38	59,51	59,80	59,22	T	5,81	NA	48,84	4,36	10,18	0,00
1605	717062,44	59,52	59,81	59,24	T	5,82	NA	48,82	4,36	10,18	0,00
1606	717381,56	59,34	59,71	58,97	T	5,79	NA	48,84	4,36	10,16	0,00
1607	717700,69	59,23	59,55	58,91	T	5,81	NA	48,84	4,34	10,16	0,00
1608	718019,81	59,39	59,82	58,97	T	5,79	NA	48,84	4,36	10,16	0,00
1609	718338,94	59,25	59,46	59,04	T	5,82	NA	48,83	4,34	10,16	0,00
1610	718658,06	59,08	59,33	58,84	T	5,82	NA	48,83	4,34	10,16	0,00
1611	718977,19	59,07	59,31	58,83	T	5,81	NA	48,84	4,34	10,15	0,00
1612	719296,31	59,12	59,31	58,93	T	5,81	NA	48,84	4,34	10,15	0,00
1613	719615,44	59,08	59,35	58,80	T	5,84	NA	48,84	4,34	10,18	0,00
1614	719934,56	59,12	59,33	58,91	T	5,82	NA	48,83	4,34	10,16	0,00
1615	720253,69	59,04	59,26	58,82	T	5,84	NA	48,84	4,34	10,18	0,00
1616	720572,81	58,99	59,17	58,81	T	5,83	NA	48,85	4,34	10,17	0,00
1617	720891,88	58,99	59,25	58,72	T	5,83	NA	48,85	4,34	10,17	0,00
1618	721211,00	58,87	59,08	58,66	T	5,84	NA	48,84	4,34	10,18	0,00
1619	721530,13	58,94	59,15	58,73	T	5,84	NA	48,83	4,34	10,18	0,00
1620	721849,25	58,84	59,04	58,64	T	5,84	NA	48,84	4,34	10,18	0,00
1621	722168,38	58,85	59,08	58,62	T	5,84	NA	48,84	4,34	10,18	0,00
1622	722487,50	58,80	59,07	58,54	T	5,83	NA	48,85	4,34	10,17	0,00
1623	722806,63	58,75	59,02	58,49	T	5,83	NA	48,85	4,34	10,17	0,00
1624	723125,75	58,72	58,99	58,46	T	5,83	NA	48,85	4,34	10,17	0,00
1625	723444,88	58,81	59,03	58,58	T	5,84	NA	48,83	4,34	10,18	0,00
1626	723764,00	58,80	58,98	58,62	T	5,84	NA	48,82	4,34	10,18	0,00
1627	724083,13	58,64	58,98	58,30	T	5,84	NA	48,83	4,34	10,18	0,00
1628	724402,25	58,56	58,75	58,37	T	5,85	NA	48,85	4,32	10,17	0,00
1629	724721,38	58,73	59,02	58,44	T	5,84	NA	48,82	4,34	10,18	0,00
1630	725040,44	58,59	58,86	58,31	T	5,86	NA	48,84	4,32	10,18	0,00
1631	725359,56	58,51	58,79	58,22	T	5,86	NA	48,84	4,32	10,18	0,00
1632	725678,69	58,43	58,66	58,20	T	5,86	NA	48,84	4,32	10,18	0,00
1633	725997,81	58,40	58,61	58,19	T	5,86	NA	48,83	4,32	10,18	0,00
1634	726316,94	58,52	58,71	58,32	T	5,86	NA	48,84	4,32	10,18	0,00
1635	726636,06	58,40	58,68	58,12	T	5,86	NA	48,83	4,32	10,18	0,00
1636	726955,19	58,30	58,55	58,05	T	5,88	NA	48,84	4,32	10,20	0,00
1637	727274,31	58,31	58,51	58,11	T	5,86	NA	48,83	4,32	10,18	0,00
1638	727593,44	58,33	58,51	58,15	T	5,88	NA	48,83	4,32	10,20	0,00
1639	727912,56	58,29	58,54	58,04	T	5,88	NA	48,82	4,32	10,20	0,00
1640	728231,69	58,08	58,19	57,97	T	5,88	NA	48,84	4,32	10,20	0,00
1641	728550,81	58,12	58,37	57,88	T	5,88	NA	48,85	4,32	10,20	0,00
1642	728869,88	58,14	58,37	57,91	T	5,88	NA	48,84	4,32	10,20	0,00
1643	729189,00	57,96	58,20	57,72	T	5,88	NA	48,85	4,32	10,19	0,00
1644	729508,13	57,95	58,21	57,70	T	5,88	NA	48,84	4,32	10,20	0,00
1645	729827,25	57,79	57,97	57,61	T	5,87	NA	48,86	4,32	10,19	0,00
1646	730146,38	57,74	57,93	57,56	T	5,88	NA	48,85	4,32	10,20	0,00
1647	730465,50	57,74	57,97	57,52	T	5,88	NA	48,85	4,32	10,19	0,00
1648	730784,63	57,58	57,77	57,39	T	5,88	NA	48,85	4,32	10,19	0,00
1649	731103,75	57,51	57,68	57,35	T	5,88	NA	48,84	4,32	10,20	0,00
1650	731422,88	57,48	57,61	57,34	T	5,88	NA	48,83	4,32	10,20	0,00
1651	731742,00	57,47	57,71	57,23	T	5,88	NA	48,84	4,32	10,20	0,00
1652	732061,13	57,42	57,57	57,26	T	5,88	NA	48,85	4,32	10,20	0,00
1653	732380,25	57,22	57,38	57,07	T	5,88	NA	48,83	4,32	10,20	0,00
1654	732699,38	57,24	57,41	57,07	T	5,88	NA	48,83	4,32	10,20	0,00
1655	733018,44	57,15	57,36	56,94	T	5,88	NA	48,85	4,32	10,20	0,00
1656	733337,56	57,08	57,34	56,82	T	5,88	NA	48,84	4,32	10,20	0,00
1657	733656,69	56,94	57,21	56,67	T	5,88	NA	48,84	4,32	10,20	0,00
1658	733975,81	56,96	57,17	56,76	T	5,88	NA	48,85	4,32	10,20	0,00
1659	734294,94	56,90	57,12	56,68	T	5,88	NA	48,81	4,32	10,20	0,00
1660	734614,06	56,85	57,01	56,70	T	5,88	NA	48,83	4,32	10,20	0,00
1661	734933,19	56,64	56,84	56,44	T	5,88	NA	48,85	4,32	10,20	0,00
1662	735252,31	56,62	56,77	56,47	T	5,87	NA	48,86	4,32	10,19	0,00
1663	735571,44	56,64	56,85	56,44	T	5,88	NA	48,85	4,32	10,19	0,00
1664	735890,56	56,52	56,79	56,25	T	5,88	NA	48,85	4,32	10,20	0,00
1665	736209,69	56,39	56,60	56,18	T	5,88	NA	48,84	4,32	10,20	0,00
1666	736528,81	56,28	56,49	56,08	T	5,88	NA	48,84	4,32	10,20	0,00
1667	736847,88	56,25	56,43	56,07	T	5,87	NA	48,85	4,32	10,19	0,00
1668	737167,00	56,21	56,40	56,03	T	5,87	NA	48,86	4,32	10,19	0,00
1669	737486,13	56,17	56,36	55,98	T	5,90	NA	48,84	4,30	10,20	0,00
1670	737805,25	56,12	56,23	56,01	T	5,88	NA	48,83	4,32	10,20	0,00
1671	738124,38	55,92	56,11	55,72	T	5,90	NA	48,85	4,30	10,19	0,00
1672	738443,50	55,91	56,12	55,71	T	5,89	NA	48,86	4,30	10,19	0,00
1673	738762,63	55,87	56,01	55,72	T	5,90	NA	48,85	4,30	10,19	0,00
1674	763973,13	50,29	50,49	50,09	T	5,89	NA	48,86	4,30	10,19	0,00
1675	764292,25	50,30	50,53	50,07	T	5,88	NA	48,84	4,30	10,18	0,00
1676	764611,38	50,24	50,41	50,07	T	5,88	NA	48,83	4,30	10,18	0,00
1677	764930,44	50,11	50,35	49,87	T	5,90	NA	48,84	4,30	10,20	0,00
1678	765249,56	50,00	50,21	49,79	T	5,90	NA	48,84	4,30	10,20	0,00
1679	766845,19	49,75	49,97	49,53	T	5,88	NA	48,85	4,30	10,18	0,00
1680	767164,31	49,58	49,84	49,31	T	5,90	NA	48,85	4,30	10,19	0,00
1681	767483,44	49,46	49,72	49,20	T	5,90	NA	48,84	4,30	10,20	0,00
1682	767802,56	49,50	49,69	49,31	T	5,88	NA	48,85	4,30	10,17	0,00
1683	768121,69	49,37	49,57	49,17	T	5,90	NA	48,85	4,30	10,20	0,00
1684	768440,81	49,31	49,55	49,06	T	5,88	NA	48,85	4,30	10,17	0,00
1685	768759,88	49,28	49,51	49,05	T	5,87	NA	48,86	4,30	10,17	0,00
1686	769079,00	49,15	49,45	48,86	T	5,90	NA	48,84	4,30	10,20	0,00
1687	769398,13	49,15	49,43	48,87	T	5,88	NA	48,85	4,30	10,17	0,00
1688	769717,25	49,00	49,29	48,72	T	5,89	NA	48,86	4,30	10,19	0,00
1689	770036,38	48,95	49,15	48,75	T	5,87	NA	48,85	4,30	10,17	0,00
1690	770355,50	48,86	49,07	48,65	T	5,87	NA	48,86	4,30	10,17	0,00
1691	770674,63	48,84	49,06	48,61	T	5,87	NA	48,86	4,30	10,17	0,00
1692	770993,75	48,76	49,04	48,48	T	5,88	NA	48,85	4,30	10,17	0,00
1693	771312,88	48,69	48,87	48,50	T	5,88	NA	48,85	4,30	10,17	0,00
1694	771632,00	48,60	48,82	48,37	T	5,88	NA	48,84	4,30	10,18	0,00
1695	771951,13	48,48	48,69	48,27	T	5,88	NA	48,84	4,30	10,18	0,00
1696	772270,25	48,48	48,68	48,27	T	5,88	NA	48,85	4,30	10,18	0,00
1697	772589,38	48,36	48,66	48,06	T	5,88	NA	48,85	4,30	10,17	0,00
1698	772908,44	48,21	48,44	47,98	T	5,88	NA	48,83	4,30	10,18	0,00
1699	773227,56	48,29	48,53	48,05	T	5,87	NA	48,85	4,30	10,17	0,00
1700	773546,69	48,14	48,34	47,93	T	5,87	NA	48,85	4,30	10,17	0,00
1701	773865,81	48,20	48,41	47,99	T	5,87	NA	48,87	4,30	10,17	0,00
1702	774184,94	48,02	48,25	47,80	T	5,88	NA	48,85	4,30	10,17	0,00
1703	774504,06	47,93	48,16	47,70	T	5,87	NA	48,85	4,30	10,17	0,00
1704	774823,19	47,84	48,06	47,62	T	5,87	NA	48,85	4,30	10,17	0,00
1705	775142,31	46,28	44,93	47,63	T	5,89	NA	48,87	4,28	10,17	0,00
1706	775461,44	47,79	47,98	47,60	T	5,88	NA	48,84	4,30	10,18	0,00
1707	775780,56	46,20	44,94	47,45	T	5,90	NA	48,85	4,28	10,17	0,00
1708	776099,69	46,08	44,76	47,40	T	5,89	NA	48,87	4,28	10,17	0,00
1709	776418,81	45,91	44,57	47,26	T	5,89	NA	48,86	4,28	10,17	0,00
1710	776737,88	45,94	44,68	47,20	T	5,90	NA	48,85	4,28	10,17	0,00
1711	777057,00	44,90	44,59	45,22	T	5,94	NA	48,85	4,28	10,21	0,00
1712	777376,13	45,86	44,59	47,13	T	5,89	NA	48,86	4,28	10,17	0,00
1713	777695,25	44,85	44,47	45,22	T	5,94	NA	48,85	4,28	10,22	0,00
1714	778014,38	45,71	44,50	46,92	T	5,89	NA	48,87	4,28	10,17	0,00
1715	778333,50	44,56	44,12	45,00	T	5,94	NA	48,85	4,28	10,21	0,00
1716	778652,63	44,66	44,13	45,18	T	5,94	NA	48,86	4,28	10,21	0,00
1717	778971,75	44,40	44,03	44,78	T	5,93	NA	48,86	4,28	10,21	0,00
1718	779290,88	44,51	44,19	44,82	T	5,93	NA	48,87	4,28	10,21	0,00
1719	779610,00	44,28	43,92	44,64	T	5,94	NA	48,86	4,28	10,21	0,00
1720	779929,13	44,24	43,69	44,78	T	5,94	NA	48,85	4,28	10,21	0,00
1721	780248,25	44,15	43,74	44,56	T	5,93	NA	48,87	4,28	10,21	0,00
1722	780567,38	44,09	43,90	44,27	T	5,94	NA	48,84	4,28	10,22	0,00
1723	780886,44	44,04	43,78	44,31	T	5,93	NA	48,87	4,28	10,21	0,00
1724	781205,56	43,86	43,36	44,36	T	5,93	NA	48,87	4,28	10,21	0,00
1725	781524,69	43,93	43,47	44,40	T	5,93	NA	48,86	4,28	10,21	0,00
1726	781843,81	43,84	43,45	44,23	T	5,93	NA	48,87	4,28	10,21	0,00
1727	782162,94	43,64	43,06	44,22	T	5,96	NA	48,84	4,26	10,22	0,00
1728	782482,06	43,73	43,35	44,12	T	5,94	NA	48,86	4,28	10,21	0,00
1729	782801,19	43,60	43,34	43,85	T	5,94	NA	48,85	4,28	10,22	0,00
1730	783120,31	43,42	43,05	43,79	T	5,93	NA	48,87	4,28	10,21	0,00
1731	783439,44	43,53	43,04	44,01	T	5,94	NA	48,84	4,28	10,22	0,00
1732	783758,56	43,38	42,98	43,79	T	5,93	NA	48,87	4,28	10,21	0,00
1733	784077,69	43,22	42,66	43,78	T	5,96	NA	48,86	4,26	10,21	0,00
1734	784396,81	43,32	43,01	43,62	T	5,93	NA	48,87	4,28	10,21	0,00
1735	784715,88	43,15	42,72	43,59	T	5,94	NA	48,86	4,28	10,21	0,00
1736	785035,00	43,09	42,71	43,46	T	5,94	NA	48,85	4,28	10,21	0,00
1737	785354,13	42,99	42,58	43,41	T	5,94	NA	48,86	4,28	10,21	0,00
1738	785673,25	42,95	42,50	43,40	T	5,94	NA	48,85	4,28	10,22	0,00
1739	785992,38	42,75	42,39	43,11	T	5,94	NA	48,85	4,28	10,21	0,00
1740	786311,50	42,72	42,25	43,18	T	5,94	NA	48,85	4,28	10,22	0,00
1741	786630,63	42,52	41,95	43,10	T	5,96	NA	48,84	4,26	10,22	0,00
1742	786949,75	42,66	42,28	43,04	T	5,94	NA	48,86	4,28	10,21	0,00
1743	787268,88	42,45	42,06	42,84	T	5,96	NA	48,84	4,26	10,22	0,00
1744	787588,00	42,45	42,02	42,87	T	5,94	NA	48,86	4,28	10,21	0,00
1745	787907,13	42,26	41,84	42,68	T	5,96	NA	48,85	4,26	10,22	0,00
1746	788226,25	42,35	41,90	42,80	T	5,94	NA	48,86	4,28	10,21	0,00
1747	788545,38	42,18	41,78	42,58	T	5,96	NA	48,85	4,26	10,22	0,00
1748	788864,44	42,24	41,77	42,71	T	5,94	NA	48,85	4,28	10,22	0,00
1749	789183,56	41,97	41,34	42,60	T	5,96	NA	48,85	4,26	10,21	0,00
1750	789502,69	42,03	41,65	42,41	T	5,94	NA	48,84	4,28	10,22	0,00
1751	789821,81	41,90	41,59	42,21	T	5,96	NA	48,86	4,26	10,21	0,00
1752	790140,94	41,87	41,43	42,31	T	5,96	NA	48,85	4,26	10,22	0,00
1753	790460,06	41,87	41,30	42,43	T	5,96	NA	48,86	4,26	10,21	0,00
1754	790779,19	41,66	41,15	42,16	T	5,95	NA	48,89	4,25	10,21	0,00
1755	791098,31	41,67	41,27	42,07	T	5,95	NA	48,88	4,26	10,21	0,00
1756	791417,44	41,62	41,19	42,04	T	5,96	NA	48,86	4,26	10,21	0,00
1757	791736,56	41,51	41,04	41,98	T	5,95	NA	48,88	4,26	10,21	0,00
1758	792055,69	41,29	40,88	41,70	T	5,95	NA	48,87	4,26	10,21	0,00
1759	792374,81	41,33	40,81	41,85	T	5,96	NA	48,86	4,26	10,21	0,00
1760	792693,88	41,22	40,69	41,74	T	5,95	NA	48,88	4,26	10,21	0,00
1761	793013,00	41,17	40,67	41,66	T	5,95	NA	48,87	4,26	10,21	0,00
1762	793332,13	41,23	40,80	41,66	T	5,96	NA	48,85	4,26	10,22	0,00
1763	793651,25	41,06	40,62	41,51	T	5,95	NA	48,87	4,26	10,21	0,00
